table_name,field_name,language,translation,record_id,record_sub_id,field_value
agency,agency_url,en,https://transcollines.ca/home/,Transcollines,,
attributions,attribution_url,en,https://transcollines.ca/home/,Transcollines,,
attributions,attribution_url,en,https://transitdata.ca/en/home/,BFTD,,
stops,stop_name,en,Near 740 Riverside,923094,,
stops,stop_name,en,Near 178 chemin de la Rivière,923167,,
stops,stop_name,en,Near 177 chemin de la Rivière,923168,,
stops,stop_name,en,Near 150 chemin de la Rivière (Courtesy Stop),923169,,
stops,stop_name,en,Near 149 chemin de la Rivière (Courtesy Stop),923170,,
stops,stop_name,en,Near 126 chemin de la Rivière,923171,,
stops,stop_name,en,Near 126 chemin de la Rivière,923172,,
stops,stop_name,en,Near 490 route 105,923311,,
stops,stop_name,en,Near 1638 route 105 (Courtesy Stop),925245,,
stops,stop_name,en,Near 1638 route 105 (Courtesy Stop),925246,,
stops,stop_name,en,Near 319 chemin Denis,933079,,
stops,stop_name,en,Near 350 chemin Ste-Élisabeth,933137,,
stops,stop_name,en,Near 376 chemin Ste-Élisabeth,933139,,
stops,stop_name,en,Near 376 chemin Ste-Élisabeth,933148,,
stops,stop_name,en,Near 351 chemin Ste-Élisabeth,933150,,
stops,stop_name,en,Near 322 chemin Denis,933207,,
stops,stop_name,en,Near 2963 Montée de la Source (Courtesy Stop),934085,,
stops,stop_name,en,Near 77 chemin Lamoureux,935046,,
stops,stop_name,en,Near 204 chemin Lamoureux (Courtesy Stop),935061,,
stops,stop_name,en,Near 204 chemin Lamoureux (Courtesy Stop),935062,,
stops,stop_name,en,Near 2123 route du Carrefour (Courtesy Stop),941061,,
stops,stop_name,en,Near 2120 route du Carrefour (Courtesy Stop),941062,,
stops,stop_name,en,Near 1580 Montée-Paiement (Courtesy Stop),943009,,
stops,stop_name,en,Near 1583 Montée-Paiement (Courtesy Stop),943010,,
stops,stop_name,en,Near 1666 Montée-Paiement (Courtesy Stop),943015,,
stops,stop_name,en,Near 1666 Montée-Paiement (Courtesy Stop),943016,,
